frame	position	phase	lumen_area	lumen_circumf	longest_distance	shortest_distance	elliptic_ratio	vector_length	vector_angle	measurement_1	measurement_2	pullback_speed	pullback_start_frame	frame_rate
83	2.76	-	7.17	9.60	3.32	2.70	1.23	0.77	211.07					
84	2.79	-	7.88	10.20	3.81	2.69	1.42	0.95	213.78					
85	2.83	-	6.98	9.44	3.27	2.68	1.22	0.82	213.06					
86	2.86	-	7.55	9.85	3.50	2.78	1.26	0.88	209.22					
87	2.89	-	7.34	9.71	3.44	2.70	1.28	0.85	211.17					
88	2.93	-	7.17	9.64	3.49	2.71	1.29	0.97	211.25					
89	2.96	-	6.95	9.51	3.49	2.64	1.32	0.92	210.75					
90	3.00	-	5.60	8.48	3.00	2.46	1.22	0.84	215.76					
91	3.03	-	5.99	8.78	3.06	2.47	1.24	0.86	235.57					
92	3.06	-	5.87	8.65	2.99	2.48	1.20	0.88	236.66					
93	3.10	-	5.95	8.70	3.00	2.54	1.18	0.86	242.66					
94	3.13	-	6.06	8.78	2.97	2.54	1.17	0.80	231.17					
95	3.16	-	6.86	9.37	3.27	2.67	1.22	0.78	217.28					
96	3.20	-	6.22	8.86	2.98	2.70	1.11	0.78	213.22					
97	3.23	-	7.55	9.77	3.31	2.94	1.13	0.86	208.41					
98	3.27	-	8.25	10.20	3.41	3.11	1.10	0.84	205.39					
99	3.30	-	8.73	10.50	3.54	3.16	1.12	0.87	204.92					
100	3.33	-	8.71	10.49	3.51	3.14	1.12	0.88	202.10					
101	3.37	-	8.85	10.60	3.57	3.10	1.15	0.90	205.68					
102	3.40	-	8.30	10.28	3.52	3.03	1.16	0.84	207.83					
103	3.43	-	8.41	10.29	3.34	3.22	1.04	0.84	224.66					
104	3.47	-	7.94	10.02	3.28	3.12	1.05	0.90	233.90					
105	3.50	-	8.52	10.36	3.41	3.20	1.07	0.88	237.25					
106	3.53	-	8.68	10.46	3.45	3.22	1.07	0.91	224.61					
107	3.57	-	9.09	10.70	3.51	3.31	1.06	0.88	214.68					
108	3.60	-	8.79	10.51	3.38	3.33	1.02	0.85	211.59					
109	3.64	-	8.86	10.56	3.43	3.29	1.04	0.81	209.17					
110	3.67	-	8.80	10.54	3.46	3.26	1.06	0.73	206.79					
